trandate,AvgSale
2023-08-01,173.174716627171
2023-08-02,177.304364348677
2023-08-03,170.531365742224
2023-08-04,167.96141235355
2023-08-05,160.471217171085
2023-08-06,169.024210714285
2023-08-07,173.554462694789
2023-08-08,167.929657552516
2023-08-09,167.499078484107
2023-08-10,175.338716807909
2023-08-11,168.951598730707
2023-08-12,162.957203968466
2023-08-13,160.471162828413
2023-08-14,180.220798020287
2023-08-15,164.216327759196
2023-08-16,174.765179091202
2023-08-17,167.011838246642
2023-08-18,167.571883737077
2023-08-19,166.593298477783
2023-08-20,165.495228274459
2023-08-21,175.192896582881
2023-08-22,178.826200342758
2023-08-23,173.037679388083
2023-08-24,180.150003031269
2023-08-25,180.344449299793
2023-08-26,173.783637053825
2023-08-27,180.350577912994
2023-08-28,190.295919897888
2023-08-29,185.302779478629
2023-08-30,180.462821917808
2023-08-31,175.49825216706
2023-09-01,175.105204521236
2023-09-02,166.544810093651
2023-09-03,166.283132730365
2023-09-04,178.851276772372
2023-09-05,186.715430230344
2023-09-06,175.187093867595
2023-09-07,175.322012290116
2023-09-08,179.328138009762
2023-09-09,162.637341935924
2023-09-10,164.862795596965
2023-09-11,184.627074601558
2023-09-12,176.835889300133
2023-09-13,188.213467241379
2023-09-14,185.009724965107
2023-09-15,180.928245823574
2023-09-16,163.927167601495
2023-09-17,179.464988638333
2023-09-18,187.944574184695
2023-09-19,188.716791700835
2023-09-20,180.176607304826
2023-09-21,179.379375527069
2023-09-22,183.901801774265
2023-09-23,178.633998003092
2023-09-24,175.460814146517
2023-09-25,175.563270046775
2023-09-26,175.86749033478
2023-09-27,189.59372314111
2023-09-28,178.858466319165
2023-09-29,180.495790370058
2023-09-30,173.596229499529
2023-10-01,175.409583458083
2023-10-02,184.843401000144
2023-10-03,182.024813740671
2023-10-04,181.648766458657
2023-10-05,182.031904286173
2023-10-06,171.889600232557
2023-10-07,172.741555348703
2023-10-08,171.267592455371
2023-10-09,182.588063956143
2023-10-10,173.719262351777
2023-10-11,185.738876007004
2023-10-12,179.310495381823
2023-10-13,169.579008529458
2023-10-14,174.203182546433
2023-10-15,169.584994739397
2023-10-16,199.972924242424
2023-10-17,178.057578864662
2023-10-18,179.047733402822
2023-10-19,173.253736426116
2023-10-20,180.456091138621
2023-10-21,175.04439640607
2023-10-22,173.193258024691
2023-10-23,183.36501718948
2023-10-24,180.095360355313
2023-10-25,186.775181237112
2023-10-26,179.442754286523
2023-10-27,178.993096692285
2023-10-28,173.326008392834
2023-10-29,175.494558255774
2023-10-30,178.246051611497
2023-10-31,191.665675430503
2023-11-01,186.713956127522
2023-11-02,179.01628994905
2023-11-03,179.809061989293
2023-11-04,174.978494794447
2023-11-05,181.614533328005
2023-11-06,178.713624544596
2023-11-07,176.620486069806
2023-11-08,191.941458878952
2023-11-09,176.565057679466
2023-11-10,183.742325207063
2023-11-11,173.386670998317
2023-11-12,180.87486829537
2023-11-13,187.682404491648
2023-11-14,180.735127848525
2023-11-15,184.841154275411
2023-11-16,178.250561936155
2023-11-17,181.706030375426
2023-11-18,172.677640319332
2023-11-19,181.351107117563
2023-11-20,188.369974846822
2023-11-21,177.557646772023
2023-11-22,180.880286774629
2023-11-23,182.115926523006
2023-11-24,173.093291418431
2023-11-25,174.460382162368
2023-11-26,175.825507573438
2023-11-27,185.404151066856
2023-11-28,195.097856892778
2023-11-29,186.677514958983
2023-11-30,181.970970555378
2023-12-01,184.514131346749
2023-12-02,182.070858647999
2023-12-03,180.017803648783
2023-12-04,190.808084405636
2023-12-05,189.713889116575
2023-12-06,191.451835165737
2023-12-07,189.083477046548
2023-12-08,193.252496050935
2023-12-09,178.598710210002
2023-12-10,191.337017593546
2023-12-11,199.915945138072
2023-12-12,196.625525663297
2023-12-13,194.425318825458
2023-12-14,193.563613703861
2023-12-15,191.938261953803
2023-12-16,179.24319086758
2023-12-17,190.097414273281
2023-12-18,192.61158292489
2023-12-19,192.116104670941
2023-12-20,182.773394901021
2023-12-21,186.887635061153
2023-12-22,176.482683240731
2023-12-23,168.837787394485
2023-12-24,168.770643043857
2023-12-26,188.070049019607
2023-12-27,196.792057057276
2023-12-28,186.046864402917
2023-12-29,193.915385015158
2023-12-30,181.242868764752
2023-12-31,180.393823935667
2024-01-01,166.524581437671
2024-01-02,189.806638344957
2024-01-03,193.927611842105
2024-01-04,184.136533682634
2024-01-05,183.677565182725
2024-01-06,181.333538283379
2024-01-07,174.749093773056
2024-01-08,191.667260590194
2024-01-09,179.913773949579
2024-01-10,181.790771436336
2024-01-11,181.838121244032
2024-01-12,187.435027423468
2024-01-13,170.210452199449
2024-01-14,170.279620606477
2024-01-15,178.453238136863
2024-01-16,183.289086094069
2024-01-17,192.144424749623
2024-01-18,179.614145342311
2024-01-19,171.583238714667
2024-01-20,169.294849121968
2024-01-21,174.034239856325
2024-01-22,183.718349385383
2024-01-23,186.721620845501
2024-01-24,190.143352380213
2024-01-25,179.847806656205
2024-01-26,176.85785751515
2024-01-27,181.868587639628
2024-01-28,181.73737792584
2024-01-29,184.302542028796
2024-01-30,186.886460878112
2024-01-31,187.37699510004
2024-02-01,187.470098094712
2024-02-02,181.524453377049
2024-02-03,182.245647424983
2024-02-04,174.108162093297
2024-02-05,189.718725896568
2024-02-06,187.57477400828
2024-02-07,180.490203526308
2024-02-08,182.990291162398
2024-02-09,182.135668531841
2024-02-10,172.866888761743
2024-02-11,179.624807878421
2024-02-12,186.313937634409
2024-02-13,176.651204873777
2024-02-14,184.238680371554
2024-02-15,185.606265074579
2024-02-16,184.359568083923
